UniqueCount	AmbigCount
0	0
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	4
0	0
0	0
3	30
0	0
695	0
25	1
1	0
0	0
5	23846
4	239
0	292
9	295
0	198
246	333
86	333
0	0
0	0
0	0
123	102
0	112
1	92
299	148
0	142
0	0
4	7
8	7
2878	0
0	0
0	2
0	2
45	407
0	407
1	524
0	524
0	520
0	0
0	0
0	0
0	0
0	1040
0	1202
0	1164
0	1086
0	0
89	1075
1	995
1	963
217	0
3	0
9	3581
0	1652
5	3516
0	1527
0	0
0	167
0	167
189	0
5375	0
3143	375
0	374
0	0
0	4
0	0
3	10
0	10
0	0
0	0
778	0
1097	0
0	0
0	0
298	0
0	317
0	0
0	0
0	0
0	0
0	0
0	0
4	92
5	92
3	776
1	682
0	603
0	494
0	0
1014	7
0	0
279	0
0	7
0	0
119	2942
0	2942
1	2
0	2
1999	0
0	0
0	0
0	0
26	2887
0	2656
0	863
59	9652
4	9652
0	9649
14	492
5	492
62	474
0	474
0	0
0	4
1408	44
434	0
0	4
0	4
0	4
1	0
0	0
24	737
143	737
0	0
78	1002
2	999
0	1000
0	0
0	0
0	0
67	0
75	655
0	760
65	763
0	0
0	0
2	1267
0	1763
0	1721
0	315
15	2995
283	3
0	245
11	304
8	304
0	241
0	240
0	0
0	0
41	238
41	238
0	0
0	0
0	1765
4	2327
0	0
0	0
5	13
0	12
0	0
0	0
0	0
1654	73
0	72
0	2
1	31
0	31
0	0
0	0
17	269
3	272
1	230
0	0
2	3
3153	0
0	0
0	0
884	2069
24	1662
8	1778
2	57
0	57
0	0
0	0
0	40
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	320
18	320
0	0
936	878
134	0
0	0
0	0
1	1
0	1
76	0
0	0
0	0
0	7
0	7
0	0
80	486
0	681
2	681
0	0
1	12
0	12
0	0
0	0
0	0
254	0
237	0
0	0
0	0
1	14
0	14
0	14
0	0
9	536
11	536
0	0
0	0
0	0
10	546
3	546
0	0
0	0
194	0
0	0
0	0
0	0
0	0
0	0
0	1078
3	1050
56	368
0	0
2504	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	147
17	146
5	103
0	0
0	0
0	0
117	0
0	0
0	10
0	10
0	40
0	40
0	0
966	4468
5	4468
0	0
1	43
0	46
90	44
15	0
3	0
0	0
27	664
1	681
2	573
1	0
14	307
0	289
0	307
4	293
6	402
26	403
24	587
5	587
0	216
0	188
0	125
0	0
10	548
21	573
3	447
0	0
0	694
1	769
0	670
57	484
0	484
0	0
6	1165
0	1175
1	1132
7	1172
0	0
0	0
192	0
1385	0
8	157
0	157
0	0
20	85
4	521
0	521
3	429
0	0
0	0
0	0
0	0
0	0
1	0
0	0
1027	1641
0	24
8	24
0	31
0	31
7	3
0	8
0	8
0	8
0	2
1	7
0	7
4	189
2	7
218	189
14	0
0	0
0	0
72	422
9	422
8	333
1	342
6	311
1	281
0	70
0	56
0	33
33	59
0	0
0	0
0	0
113	339
0	7
0	0
0	0
0	7
0	7
41	452
11	452
90	746
0	1015
0	1015
0	56
0	111
0	112
0	0
0	0
0	136
0	126
0	47
0	55
0	51
0	9
0	0
0	0
0	0
0	0
0	0
871	2078
0	2521
44	2097
0	2265
2	0
0	0
0	54
0	50
0	60
0	21
0	19
0	0
0	3
0	3
0	3
0	1
0	1
0	1
0	1
0	8
0	8
0	7
4	0
0	0
0	7
1	7
0	7
0	0
75	0
0	0
0	0
15	7837
82	8830
9	8855
0	7973
0	2495
1949	0
0	0
0	10
0	10
0	10
0	6
15	11642
70	11281
