UniqueCount	AmbigCount
0	5
0	0
3	516
0	0
0	5
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	2
0	0
0	0
0	0
0	0
0	2
1	1
0	8
0	0
0	1
5	0
0	0
1	5
0	2
0	0
1	4
0	0
0	0
0	0
9	621
7	211
0	208
0	205
0	173
0	160
2	0
0	0
0	19
0	1
0	1
0	1
0	0
0	0
0	0
0	1
0	1
0	1
0	1
0	0
0	5
0	2
0	2
0	4
0	3
0	1
0	0
0	2
0	1
0	1
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	2
2	8
0	2
0	0
0	1
0	3
0	3
0	1
0	2
0	3
0	5
0	1
0	0
0	0
0	3
0	2
0	2
0	1
0	1
1	128
68	4358
120	9553
0	6
2	83
0	0
728	594
5	146
0	0
0	1
7	24
0	0
0	0
0	0
0	0
0	20
0	10
0	13
0	11
0	12
1	9
0	9
0	12
0	13
1	11
0	13
0	13
0	14
0	7
0	2
0	2
0	4
0	0
0	0
0	0
0	0
0	0
0	3
0	5
0	5
0	4
0	4
0	3
0	4
1	2
0	11
0	11
0	0
1	1
0	1
11	2
20	1
0	0
0	210
0	234
108	561
1	28
0	530
4	62
0	404
3	607
2	52
0	274
0	587
0	302
0	427
0	18
0	218
1	230
0	43
0	253
0	265
0	280
0	237
0	0
0	148
0	186
0	197
0	291
0	351
0	345
0	421
0	245
0	227
0	254
2	238
0	3
0	276
0	379
0	229
1	0
0	8
0	0
0	0
0	186
0	6
0	1
0	2
0	2
0	0
0	1
0	0
0	0
1	0
2	1
0	1
7	4
0	2
0	2
0	123
0	124
0	1
0	115
0	7
0	6
0	7
0	6
0	5
0	115
0	3
0	0
0	3
0	1
0	2
411	2412
0	690
7	1971
0	0
68	793
0	118
147	37
3	9
3	26
1	0
0	3
0	0
0	0
0	0
0	0
0	3
0	3
0	3
0	0
1	0
175	893
202	761
0	731
46	409
0	545
0	366
606	544
0	0
0	0
3	4925
1	4685
0	4368
0	4608
0	180
0	196
0	76
0	5
1	88
9	839
1	41
0	8
0	12
0	4
0	8
1	10
0	9
2	7
0	7
0	5
1	3
0	0
0	0
0	0
0	190
3	198
3	273
0	256
9	135
0	210
1	192
0	45
0	150
0	155
1	108
0	115
3	59
2	25
3	17
0	24
0	12
0	15
1	1
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	1
0	1
0	0
0	0
0	1
0	0
0	0
0	0
0	1
1	1
0	0
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	0
177	7487
9	6884
3	5809
6	2550
8	1996
9	1651
0	1528
3059	2
0	0
0	0
2	0
0	1
0	1
0	0
8	2955
84	3331
0	2986
36	1439
6	1904
1	1116
8	1598
1	278
0	1455
12	840
0	200
0	117
0	698
0	676
2	743
0	35
3	147
0	150
0	674
29	9
0	0
0	0
0	6
0	5
0	8
0	8
0	2
0	6
0	0
0	0
3	925
89	1024
7	676
0	624
0	23
3	71
0	118
0	11
0	175
0	91
1	7
0	50
0	1
0	0
74	242
8	78
4	53
4	190
0	11
5	64
0	68
0	1178
0	2236
0	2232
0	1679
0	155
0	1790
0	2605
0	1682
4	1277
1	420
5	1459
0	2233
1	1724
0	1464
0	2242
0	2126
0	631
0	232
2	190
1	1877
0	337
0	369
0	347
0	171
0	304
0	815
0	25
0	158
0	927
9	440
0	266
0	574
0	490
0	488
0	4
0	4
0	140
0	719
3	217
19	117
2	345
0	369
0	246
0	211
0	81
0	231
0	8
0	26
0	3
0	0
1	0
51	308
493	337
0	44
20	0
28	1223
94	1191
5	153
0	248
1	85
0	23
3	58
0	0
0	19
0	29
0	43
0	37
0	32
0	5
0	4
0	9
0	0
0	0
38	2135
100	1960
717	1967
437	2252
11	416
6	143
0	0
0	309
54	807
1	383
1	283
6	952
0	313
0	723
0	386
0	162
0	623
0	19
0	16
0	11
0	95
1	634
2	25
0	260
0	7
0	73
25	569
24	561
5	543
0	587
1	535
0	580
3	502
1	503
0	512
0	35
0	476
0	509
0	516
0	228
886	1761
1	523
1	982
9	138
2	1243
6	201
0	0
13	1
0	1
0	1
0	3
0	0
0	2
1	0
9	0
0	1
0	0
0	1
0	1
0	43
6	324
69	364
0	2
0	45
0	0
0	0
16	395
0	196
4	353
0	43
3	153
3	116
0	0
0	0
0	0
13	1424
0	1023
0	1316
0	1100
3	1220
0	7
0	103
0	250
267	4
25	4
1841	3140
1	2388
0	759
729	304
0	12
20	12
0	0
282	0
5	0
542	9
5	754
3	699
0	814
0	804
0	686
3	746
0	751
0	22
3	55
22	832
12	165
0	686
2	83
10	14
0	157
0	801
0	517
0	101
0	716
0	631
0	29
0	26
0	557
0	81
2	15
0	13
0	78
0	139
0	141
1	110
0	38
0	36
0	0
0	6
0	3
0	5
0	4
0	2
0	3
0	2
0	0
0	0
21	1183
0	1002
0	978
0	830
0	784
0	798
0	798
0	798
0	132
2	19
10	287
43	2685
5	2725
0	1007
3	360
2	1
0	0
0	6
12	790
0	689
0	118
0	477
0	640
0	464
0	563
0	687
0	556
0	606
0	18
1	56
0	20
0	0
0	76
0	10
0	4
0	37
0	44
1	50
0	6
0	3
5	2
14	542
0	3
22	38
0	0
0	0
22	259
5	5
16	279
0	159
107	3084
2	2612
3	2247
0	1501
1	27
0	638
0	267
0	237
3	470
0	271
0	182
0	298
0	424
2	672
0	672
2	479
0	0
4	18515
324	24381
1314	26232
9	20601
0	21543
18	23703
0	20841
5	18671
0	23671
60	21532
0	10921
0	22085
0	23601
0	23392
0	23397
0	22996
0	22576
0	18994
28	20546
0	16888
0	20028
43	19425
4	13604
5	12356
3	1931
1	6601
8	5152
1	2875
0	22
4	1102
5	0
4	12
6	10
0	2
1	12
2	7
0	0
0	0
0	0
0	0
2	8
0	7
0	1
0	2
1	6
0	1
0	118
0	11
0	116
0	13
0	2
3	89
0	58
0	3
18	58
2	5
0	0
0	0
0	13
0	18
0	8
0	14
0	15
1	16
0	4
0	13
0	8
0	8
0	0
0	12
0	5
0	2
0	8
0	5
0	5
0	4
0	6
0	0
0	0
42	1175
0	90
2	17
2	7
0	7
0	2
113	1192
0	113
8	1005
1	95
0	134
0	98
0	133
0	97
1	165
0	150
7	109
1	84
0	60
2	70
1	18
0	1005
0	142
0	705
0	610
0	28
0	1
2	0
2	0
25	711
11	696
13	1292
8	1541
17	997
38	556
14	572
28	1439
0	1005
1	1005
3	997
2	246
0	894
0	0
12	0
0	0
0	29
1191	40
