UniqueCount	AmbigCount
0	4
0	0
3	448
0	0
0	0
0	1
0	0
0	0
0	0
0	0
0	1
0	0
0	0
1	2
0	0
0	0
0	3
0	2
0	2
0	4
0	9
0	0
0	2
1	1
0	1
1	2
0	0
0	0
0	0
0	0
0	0
0	0
7	548
7	191
1	192
0	181
0	153
0	144
10	5
0	0
0	12
0	3
0	1
0	3
0	1
0	1
0	2
0	1
0	2
1	1
0	2
0	0
1	13
0	9
0	8
0	4
0	2
1	2
0	1
0	3
0	2
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	1
0	7
2	10
0	4
0	0
0	1
0	9
0	7
0	2
0	6
1	6
0	10
0	1
0	0
0	0
0	2
0	1
0	2
0	2
0	0
2	96
45	4894
153	8073
0	4
1	58
0	0
636	561
0	79
0	0
0	1
15	46
1	4
0	0
0	0
0	0
0	14
0	6
0	9
0	11
0	10
0	6
0	6
0	9
0	13
2	9
2	15
0	9
0	13
0	6
0	0
0	0
3	0
0	0
0	0
0	1
0	0
0	0
0	0
0	4
0	5
0	0
0	0
0	2
0	0
0	7
0	6
0	6
0	0
2	2
0	0
29	6
27	0
0	1
1	438
3	473
328	1224
0	95
1	1187
10	94
0	927
1	1284
2	82
0	553
0	1257
0	609
0	999
0	43
0	460
0	482
0	81
0	505
0	577
0	602
2	478
0	18
0	310
1	365
0	431
1	605
0	794
0	803
0	937
0	493
0	471
0	502
0	485
1	20
0	529
0	843
1	456
4	20
0	15
0	35
0	18
0	365
0	21
2	3
1	3
1	1
0	0
0	1
1	0
0	0
2	0
1	0
0	0
12	4
0	3
0	1
0	250
0	249
0	1
2	242
0	8
0	12
0	13
0	7
0	11
0	242
0	10
0	0
0	6
0	1
0	1
994	5250
0	1561
14	4358
0	0
123	1677
2	195
220	52
2	11
5	38
0	0
3	12
0	5
0	9
0	0
0	1
0	2
0	2
0	2
0	0
8	0
359	2666
1238	2593
25	2125
77	1312
6	87661
12	61662
109121	87713
0	0
0	0
13	16253
0	15371
0	14141
0	15023
0	505
6	668
0	207
0	14
0	253
4	2712
0	140
4	15
0	17
0	7
4	10
1	11
0	15
2	10
0	10
0	5
0	7
1	0
0	0
0	0
0	540
1	555
14	815
0	741
26	386
0	629
0	569
0	52
1	363
1	375
0	336
1	341
9	151
11	75
9	43
0	105
0	58
0	67
0	11
2	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	251
86	395
1	124
3	232
0	21
2	22
0	21
0	34
1	29
0	22
0	12
0	33
0	12
0	16
0	29
0	19
0	21
0	3
318	11895
30	11013
6	9379
8	4148
9	3315
5	2759
0	2461
4548	10
0	1
0	1
10	3
0	0
0	2
0	0
1	4812
99	5460
0	4866
39	2315
14	2948
3	1872
7	2503
1	430
0	2303
19	1458
2	300
2	193
0	1109
1	973
7	1143
0	35
10	206
0	261
2	1014
50	16
0	0
0	0
0	5
0	3
1	5
0	5
0	0
0	5
0	0
0	3
5	1037
112	1154
6	834
0	741
0	26
1	79
0	111
6	23
9	181
1	79
1	16
0	36
0	0
0	0
80	283
10	66
24	45
3	181
0	13
2	97
0	108
0	1939
0	3583
0	3580
0	2726
0	261
1	2907
0	4180
0	2732
2	2103
4	703
10	2396
0	3583
5	2818
0	2422
0	3586
0	3401
0	1085
0	412
1	306
0	2971
0	528
0	617
0	522
0	269
0	516
0	1202
0	28
0	252
0	1414
11	681
0	434
0	869
1	753
0	754
0	6
1	5
0	267
0	1123
0	368
10	188
0	563
0	543
3	405
1	348
0	137
3	302
0	11
0	25
0	3
0	0
0	0
57	418
787	498
0	97
5	1
46	2685
243	2607
7	335
0	560
1	206
0	58
0	139
0	0
0	6
