"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"1","Abhd4","Q8VD66",-0.195875120162963,0.0279706241550208,15.56248,15.86935,15.55926,15.73028,15.88905,15.74478,15.75277,15.80075,15.99037,-0.555222290838994,5.3977672907805e-07,"Both","Both (concordant)(n = 67)",510.5223265,294.387603333333,15.67951,15.875385,2.70801473969173,2.46891951790296
"2","Akap2","Q5U301",0.569943857192992,0.00459743532405594,15.25536,14.87541,15.3945,15.52292,14.83467,15.40345,14.86535,15.90529,15.13001,1.64902947092235,7.34589286783687e-21,"Both","Both (concordant)(n = 67)",13.8896038333333,43.6951395,15.496304,14.92636,1.14268985873611,1.64043313020317
"3","Ass1","P09034",0.688819599151611,0.00472910587757965,15.58889,15.319,15.96565,15.55009,15.09873,15.81065,14.81042,16.18237,15.29469,6.72897192145413,0,"Both","Both (concordant)(n = 67)",3.18801666666667,310.746838333333,15.81953,15.13071,0.503520583182809,2.49240671864475
"4","Atad1","Q505J9",0.305828666687013,0.0370466630024219,16.50555,16.15462,16.2253,16.68634,16.24897,16.51464,16.06179,16.70685,16.42225,1.25018752437205,1.56618596890409e-20,"Both","Both (concordant)(n = 67)",43.8650838333333,92.758527,16.527736,16.2219075,1.642118963703,1.96735384344966
"5","B2m","P07151",1.45034561157227,1.42755619227808e-06,18.48569,17.14191,18.27499,18.42304,16.98371,18.57408,16.78571,18.56309,17.144,3.06838024053222,1.01468236696118e-115,"Both","Both (concordant)(n = 67)",157.682232666667,1177.4968125,18.464178,17.0138325,2.1977827606115,3.07095974016141
"6","Bst2","Q811A2",1.48363318443298,5.11232672123617e-05,15.28724,14.10116,14.92458,15.57113,13.73503,15.08626,13.47776,15.21337,13.61758,7.71382373952536,7.57108815645672e-129,"Both","Both (concordant)(n = 67)",1.32326033333333,217.767466,15.216516,13.7328825,0.121645294079987,2.33799299758657
"7","Cadm4","Q1WIM1",-0.490244674682618,0.0128039160245045,15.05647,15.34586,14.84058,15.3479,15.76474,15.16097,15.58188,15.34478,15.86906,-0.823414699892487,0.00641026757710444,"Both","Both (concordant)(n = 67)",23.0204151666667,10.7492615,15.15014,15.640385,1.36211315174236,1.03137862820586
"8","Caprin1","Q5M9G3",0.347110176086424,0.00361464953930428,18.1766,17.70806,18.00788,18.16928,17.78902,18.04703,17.74419,18.3332,17.95748,1.14879958087267,4.10244069618319e-22,"Both","Both (concordant)(n = 67)",171.3069235,339.5193255,18.146798,17.7996875,2.23377491566302,2.53086449943873
"9","Ccl7","Q9QXY8",1.31721773147583,0.000794427437545305,14.94375,14.32207,15.87029,15.24845,14.16828,15.9427,14.08082,15.81536,14.4164,6.82104023644876,5.33188167647702e-93,"Both","Both (concordant)(n = 67)",56.3201175,5355.592424,15.56411,14.2468925,1.75066355219848,3.72880751853732
"10","Cd44","P26051",0.373425292968751,0.0328978925871463,16.49041,16.36278,16.96364,16.74491,16.4673,17.11319,16.43604,17.00799,16.69629,2.42678411699042,8.71752020828782e-08,"Both","Both (concordant)(n = 67)",50.6825746666667,289.835456833333,16.864028,16.4906025,1.70485866886184,2.46215151352
