"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"1","Aarsd1","Q5XI97",-0.122396945953369,0.574379106251234,16.09573,16.32766,15.38083,15.97067,15.78405,15.52903,15.5554,15.79073,15.83607,0.0682744862314833,0.84642563606514,"Neither","Neither (n = 1099)",14.0410473333333,11.9189513333333,15.753398,15.875795,1.1473995033866,1.0762380464964
"2","Aasdhppt","B2RYJ4",-0.121689081192017,0.361116406781785,13.29203,13.40554,12.90384,13.26021,13.16414,13.04941,13.08899,13.32249,13.49047,0.0455474647458519,0.890019935641369,"Neither","Neither (n = 1099)",34.941495,38.012883,13.165596,13.287285,1.54334148268356,1.57993080892196
"3","Abcb7","Q704E8",-0.127068853378296,0.315978466128188,13.49673,13.29203,12.91193,13.30549,13.51188,13.21649,13.27727,13.27958,13.39527,-0.460915996585363,0.191566643651259,"Neither","Neither (n = 1099)",7.61646933333333,4.93545066666667,13.242044,13.3691125,0.881753697797197,0.693326815184042
"4","Abcd3","P16970",-0.0189976692199707,0.918142046542873,17.44484,17.38119,17.8224,17.73165,17.9469,17.97399,17.88887,18.03987,18.06923,-0.234341002221616,0.305249802753824,"Neither","Neither (n = 1099)",29.1157511666667,19.3680281666667,17.80255,17.8215475,1.46412799909217,1.28708540802284
"5","Abce1","P61222",-0.197086429595949,0.0644342881976959,17.08441,17.17758,16.81653,17.06234,17.2764,17.04516,17.21324,17.27939,17.35139,0.157043760283166,0.419461970914914,"Neither","Neither (n = 1099)",69.2133411666667,68.8563028333333,17.057566,17.2546525,1.84018981463914,1.83794370000984
"6","Abcf1","Q6MG08",-0.0806065082550056,0.663632742394572,13.04084,13.17658,12.72667,13.28087,13.15411,12.99327,12.99271,13.53673,13.46173,0.313554391460388,0.0880050123485939,"Neither","Neither (n = 1099)",53.8455431666667,61.1587766666667,13.115676,13.1962825,1.73114976226305,1.78645878981697
"7","Abcf3","Q66H39",0.0765294075012211,0.575909225095968,15.38472,15.30132,14.87465,15.32917,15.08078,15.07778,14.97951,15.39269,15.17948,0.165066655940716,0.406682508901994,"Neither","Neither (n = 1099)",69.4666945,68.1985215,15.211802,15.1352725,1.84177663391733,1.83377495953402
"8","Abhd6","Q5XI64",-0.130890846252441,0.519299823305946,11.16967,11.35364,10.78218,11.40541,11.44941,11.46801,11.10329,11.55185,11.71892,-0.0307654228902451,0.923344640020051,"Neither","Neither (n = 1099)",35.2453371666667,29.0673936666667,11.275424,11.406315,1.54710166950518,1.46340609241955
"9","Abr","A0A0G2JTR4",-0.0375919818878181,0.85887962700201,11.94182,11.97287,11.66057,12.66824,12.07109,11.89992,12.24201,12.24624,12.19783,0.0069324271795359,0.975484525388711,"Neither","Neither (n = 1099)",50.274147,42.957738,12.083358,12.12095,1.70134471066936,1.63304140490794
"10","Abr","Q5SSL4",-0.0375919818878181,0.85887962700201,11.94182,11.97287,11.66057,12.66824,12.07109,11.89992,12.24201,12.24624,12.19783,0.0069324271795359,0.975484525388711,"Neither","Neither (n = 1099)",50.274147,42.957738,12.083358,12.12095,1.70134471066936,1.63304140490794
"11","Abracl","Q4KML4",0.0490885734558102,0.81572624637498,15.27594,15.16526,14.62639,14.59759,14.56147,14.54134,14.55087,14.96632,14.73211,0.519227379553399,0.275422792971344,"Neither","Neither (n = 1099)",3.4950925,5.14479516666667,14.801516,14.7524275,0.543458674132624,0.711368088572266
"12","Acaa1a","P21775;P07871",0.0578275680542006,0.713840977525794,18.00701,17.97986,18.266,18.06382,18.08519,18.10288,17.98576,18.53069,18.4942,0.196973657348481,0.283830836047901,"Neither","Neither (n = 1099)",212.973998666667,200.638719666667,18.19408,18.1362525,2.32832658501208,2.30241474780156
