"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"1","Aifm1","Q9Z0X1",0.243883514404297,0.0247253260732677,14.45668,14.26898,14.2061,14.55087,14.2074,14.37225,14.06794,14.58238,14.21477,0.14818938859387,0.510811574248449,"Protein only","Protein only (n = 14)",47.4305388333333,47.6715046666667,14.433656,14.1897725,1.67605805847043,1.67825885988
"2","Amdhd2","Q5BJY6",0.632523536682129,0.00198002776453967,10.93428,10.80373,10.94002,11.03967,10.20004,11.02908,10.31402,11.15133,10.22762,-0.0729680916951838,0.798885135241312,"Protein only","Protein only (n = 14)",88.0121326666667,71.909687,11.018876,10.3863525,1.94454254472955,1.85678739841166
"3","Arhgap1","Q5FWK3",0.418044471740723,0.0386673035238326,13.68113,13.18401,13.02036,13.49298,12.81702,13.17408,12.77575,13.54436,13.08137,-0.291707749486718,0.0680495308162494,"Protein only","Protein only (n = 14)",74.0739495,53.8963753333333,13.382582,12.9645375,1.86966550112963,1.73155955877367
"4","Dnase2","Q9QZK8",-0.292972707748413,0.047076026913831,14.11935,14.37055,13.74252,14.21341,14.45128,13.91979,14.05291,14.08464,14.36092,0.0244393147765116,0.936731112292328,"Protein only","Protein only (n = 14)",83.7948333333333,69.6472548333333,14.015942,14.308915,1.92321724149426,1.84290400325488
"5","Gja1","P08050",-0.748579072952271,0.0049804174908448,14.46435,15.0007,14.40694,14.72686,15.58214,14.38869,15.10505,14.92449,15.63549,-0.113166443689284,0.501416873878554,"Protein only","Protein only (n = 14)",494.930791833333,374.159853333333,14.582266,15.330845,2.69454447403202,2.57305718666168
"6","Impa1","P97697",0.269226121902467,0.0148679438288098,14.71976,14.54061,14.50358,14.71043,14.40135,14.62462,14.18936,14.76534,14.45076,0.0712427775545866,0.811815102953783,"Protein only","Protein only (n = 14)",28.569586,24.6266445,14.664746,14.39552,1.45590394709544,1.3914052411363
"7","Itga6","Q61739",-0.361260366439819,0.0333788396497307,12.51313,12.89279,12.36845,12.71594,12.85042,12.41352,12.78074,12.86452,13.22154,0.303282702581643,0.267300889446163,"Protein only","Protein only (n = 14)",6.06670133333333,6.438783,12.575112,12.9363725,0.782952614941076,0.808803788737003
"8","Nup98","P49793",-0.249560356140137,0.00356719024585377,11.33823,11.6782,11.36452,11.4992,11.57095,11.38554,11.64092,11.51757,11.79222,0.324046816949051,0.118121583244576,"Protein only","Protein only (n = 14)",12.5203308333333,14.1044183333333,11.421012,11.6705725,1.09761580468853,1.14935518054225
"9","Psap","P10960",-0.224902915954591,0.0355897396804319,19.80127,19.87176,19.62225,19.88859,20.21371,19.86458,19.97463,19.89131,20.09391,-0.14468420948102,0.318181713295902,"Protein only","Protein only (n = 14)",2100.61028083333,1608.1878515,19.8136,20.0385025,3.32234548668341,3.20633677706471
"10","Ralgapb","P86410",-0.197681427001953,0.0199932133737795,12.77518,13.03605,12.81586,12.98975,12.97271,12.74225,13.08043,12.97384,13.13904,0.272567732808292,0.271165399411242,"Protein only","Protein only (n = 14)",6.77479416666667,7.36983216666667,12.859376,13.0570575,0.830896104913408,0.86745759777486
"11","Sec16a","E9QAT4",0.356759834289551,0.0124177156714955,13.03172,12.61715,12.85401,12.90123,12.57511,13.08804,12.4906,13.1711,12.92698,0.056578456116668,0.81104742786664,"Protein only","Protein only (n = 14)",18.6610763333333,16.8573671666667,13.00922,12.65246,1.27093668936474,1.22678974619172
"12","Slc14a1","P97689",-0.591965913772583,0.00359490018922948,13.994,14.24087,13.59584,14.0254,14.49004,13.99072,14.61275,14.07071,14.76554,-0.285671229563896,0.118100548487085,"Protein only","Protein only (n = 14)",43.2334425,31.1023255,13.935334,14.5273,1.63581981798171,1.49279286214774
"13","Sparc","P16975",-0.231195116043091,0.0448536275161675,13.21163,13.38775,13.09923,13.36318,13.59852,13.35508,13.46404,13.48003,13.68179,-0.0178443100814526,0.927834720788465,"Protein only","Protein only (n = 14)",733.098939666667,617.396633,13.30183,13.533025,2.86516259135543,2.79056425670826
"14","Zbtb20","Q8K0L9",0.908057355880738,0.00243973122686811,11.86251,11.11517,12.26225,12.52306,11.58104,12.33895,10.92813,11.89167,11.44617,-0.0727082908729388,0.751304788789204,"Protein only","Protein only (n = 14)",93.1301623333333,66.884462,12.175688,11.2676275,1.96909035996565,1.82532523807538
