"","gene_names","protein","log2FC","pval","TICI_1","VEH_1","TICI_2","TICI_3","VEH_3","TICI_4","VEH_4","TICI_5","VEH_5","log2FoldChange","padj","significance","Significance","pbs_tpm","tici_tpm","TICI_abundance","VEH_abundance","log10_pbs_tpm","log10_tici_tpm"
"1","Abat","P50554",-0.0533806800842278,0.715745495199068,18.49985,18.52936,18.67855,18.85924,18.94752,18.86124,18.90674,19.04924,18.9884,-0.615188453296219,0.0243897877155777,"RNA only","RNA only (n = 966)",44.3789,24.0052003333333,18.789624,18.843005,1.64717653336578,1.38030533468753
"2","Abhd12","Q6AYT7",-0.161148643493652,0.46660665029834,15.16542,15.39851,14.39104,15.16875,15.21622,14.86559,14.74956,14.87412,14.85224,-0.381532287417783,0.0410740805270203,"RNA only","RNA only (n = 966)",84.1826005,52.5392185,14.892984,15.0541325,1.92522233748893,1.72048360854023
"3","Abhd17b","Q6AY17",-0.174797248840331,0.142495641275103,12.3592,12.69349,12.24404,12.4238,12.55495,12.46929,12.6644,12.78371,12.61038,-0.731896160077219,2.54144750091379e-05,"RNA only","RNA only (n = 966)",92.1043335,46.9943076666667,12.456008,12.630805,1.96428006419101,1.67204525583629
"4","Abi1","Q9QZM5",-0.0371929168701168,0.749220366462835,14.04337,13.89983,13.99028,14.02652,14.17251,13.88865,13.9552,14.28569,14.30884,0.50950368709135,0.000438927982926041,"RNA only","RNA only (n = 966)",50.301568,62.9990316666667,14.046902,14.084095,1.7015815230904,1.79933387413524
"5","Acaa2","P13437",-0.130193901062011,0.371148282631336,16.02719,16.19333,16.21881,16.27578,16.43258,16.3605,16.40788,16.59818,16.67135,-0.931134624661582,4.858748357055e-05,"RNA only","RNA only (n = 966)",54.7547251666667,21.975209,16.296092,16.426285,1.7384216034256,1.34193301421749
"6","Acadl","P15650",-0.000109004974365945,0.999567372569676,18.08343,18.05404,18.53754,18.42123,18.57137,18.70833,18.60856,18.76215,18.77661,-0.590151710746592,0.000116124810035497,"RNA only","RNA only (n = 966)",194.585428833333,115.554939833333,18.502536,18.502645,2.28911031581821,2.06278851577361
"7","Acadm","P08503",0.0991211891174331,0.4804434677515,15.80421,15.70334,16.03939,15.86776,15.94526,16.14677,15.93861,16.3161,16.15569,-0.415514119267454,0.0246710380375344,"RNA only","RNA only (n = 966)",73.670182,42.5355341666667,16.034846,15.935725,1.86729174276785,1.6287518911007
"8","Acadvl","P45953",-0.0835928916931152,0.569459870910695,17.64906,17.77166,17.96961,17.9023,18.06429,18.01732,18.06445,18.24372,18.25958,-0.479242633204665,0.00290040736017121,"RNA only","RNA only (n = 966)",85.2472758333333,53.1359608333333,17.956402,18.039995,1.93068050954777,1.72538853813474
"9","Acap2","Q5FVC7",-0.0607460975646976,0.651052277953332,14.07314,14.04602,14.12816,13.95301,14.20159,14.20961,14.21151,14.49386,14.47009,0.436538612973263,0.0142020988411392,"RNA only","RNA only (n = 966)",27.3469826666667,30.660092,14.171556,14.2323025,1.43690941536757,1.48657345368314
"10","Acat1","P17764",-0.123167896270751,0.2902422005329,17.32316,17.48338,17.11929,17.5143,17.54525,17.33481,17.37416,17.61884,17.6182,-1.2136504298459,2.52983479440655e-13,"RNA only","RNA only (n = 966)",72.5489833333333,24.996171,17.38208,17.5052475,1.86063133082176,1.39787348703483
"11","Aco1","Q63270",-0.204175186157226,0.119042708548051,17.7896,18.0718,17.42579,17.8383,17.91783,17.59135,17.72733,17.87873,17.91876,-0.602632269830669,0.000188426825406549,"RNA only","RNA only (n = 966)",81.0099945,44.2174818333333,17.704754,17.90893,1.90853860268647,1.64559400606205
"12","Aco2","Q9ER34",-0.0471287727355971,0.784470095071719,19.37411,19.36828,19.67121,19.65313,19.83277,19.85448,19.85076,19.9894,19.97057,-1.30721638630449,2.68268998966553e-33,"RNA only","RNA only (n = 966)",743.7769495,250.769508666667,19.708466,19.755595,2.87144271494783,2.39927472903728
"13","Acot1","O88267",-0.105416107177735,0.490685786632162,17.52658,17.62428,17.49256,18.0466,18.00047,17.69207,17.77501,17.91922,17.96353,-3.95693775179063,6.745893947565e-51,"RNA only","RNA only (n = 966)",59.3087008333333,4.8727125,17.735406,17.8408225,1.77311841084679,0.687770787874838
